,episode,scores,steps,epsilons,win_rate
0,20,0,128,0.9046104802746175,0
1,40,0,30,0.8183201210226743,0
2,60,1,91,0.7402609576967045,1
3,80,1,52,0.6696478204705644,1
4,100,1,47,0.6057704364907278,1
5,120,1,54,0.547986285490042,1
6,140,1,85,0.49571413690105054,1
7,160,1,27,0.4484282034609769,1
8,180,2,27,0.40565285250151817,1
9,200,2,37,0.3669578217261671,1
10,220,2,72,0.33195389135223546,1
11,240,2,38,0.30028896908517405,1
12,260,4,82,0.27164454854530906,1
13,280,2,45,0.2457325055235537,1
14,300,1,16,0.22229219984074702,1
15,320,7,130,0.2010878536592394,1
16,340,5,172,0.18190617987607657,1
17,360,4,56,0.16455423674261854,1
18,380,5,39,0.14885748713096328,1
19,400,7,150,0.1346580429260134,1
20,420,15,212,0.12181307688414106,1
21,440,9,142,0.11019338598389174,1
22,460,19,350,0.0996820918179746,1
23,480,7,118,0.09017346495423652,1
24,500,10,145,0.08157186144027828,1
25,520,6,92,0.07379076075438468,1
26,540,13,185,0.0667518955258533,1
27,560,11,134,0.06038446427088321,1
28,580,6,71,0.05462441922520914,1
29,600,10,132,0.0494138221100385,1
30,620,14,186,0.04470026135116646,1
31,640,18,332,0.04043632488927963,1
32,660,9,185,0.03657912327863173,1
33,680,12,147,0.03308985827710748,1
34,700,9,114,0.029933432588273214,1
35,720,15,191,0.02707809682994571,1
36,740,13,201,0.02449513017825978,1
37,760,11,140,0.022158551474944856,1
38,780,18,215,0.020044857891939702,1
39,800,13,147,0.018132788524664028,1
40,820,13,174,0.0164031105360144,1
41,840,10,130,0.014838425699981627,1
42,860,7,60,0.013422995398979608,1
43,880,17,223,0.012142582314594924,1
44,900,14,181,0.01098430721937979,1
45,920,21,282,0.01,1
46,940,17,235,0.01,1
47,960,17,231,0.01,1
48,980,15,277,0.01,1
49,1000,27,283,0.01,1
50,1020,5,80,0.01,1
51,1040,27,426,0.01,1
52,1060,9,122,0.01,1
53,1080,33,521,0.01,1
54,1100,14,196,0.01,1
55,1120,20,312,0.01,1
56,1140,21,387,0.01,1
57,1160,13,166,0.01,1
58,1180,36,505,0.01,1
59,1200,38,645,0.01,1
60,1220,16,187,0.01,1
61,1240,27,286,0.01,1
62,1260,36,537,0.01,1
63,1280,23,371,0.01,1
64,1300,19,290,0.01,1
65,1320,9,93,0.01,1
66,1340,8,75,0.01,1
67,1360,15,153,0.01,1
68,1380,22,272,0.01,1
69,1400,36,635,0.01,1
70,1420,30,424,0.01,1
71,1440,25,387,0.01,1
72,1460,21,344,0.01,1
73,1480,10,115,0.01,1
74,1500,11,196,0.01,1
75,1520,23,359,0.01,1
76,1540,30,491,0.01,1
77,1560,35,520,0.01,1
78,1580,28,411,0.01,1
79,1600,33,597,0.01,1
80,1620,17,273,0.01,1
81,1640,10,117,0.01,1
82,1660,23,459,0.01,1
83,1680,26,372,0.01,1
84,1700,36,665,0.01,1
85,1720,19,272,0.01,1
86,1740,32,487,0.01,1
87,1760,31,494,0.01,1
88,1780,16,241,0.01,1
89,1800,10,181,0.01,1
90,1820,12,158,0.01,1
91,1840,22,267,0.01,1
92,1860,18,258,0.01,1
93,1880,19,297,0.01,1
94,1900,32,562,0.01,1
95,1920,29,434,0.01,1
96,1940,21,287,0.01,1
97,1960,20,320,0.01,1
98,1980,16,164,0.01,1
99,2000,21,264,0.01,1
