,episode,scores,steps,epsilons,win_rate
0,20,1,114,0.7854868010410395,1
1,40,0,61,0.6169895146096857,0
2,60,1,10,0.4846371201066256,1
3,80,2,55,0.3806760611382953,1
4,100,5,101,0.2990160214964227,1
5,120,6,95,0.2348731381852437,1
6,140,5,60,0.18448974996359702,1
7,160,5,90,0.14491426352376705,1
8,180,9,160,0.11382824128050192,1
9,200,8,128,0.08941058111154905,1
10,220,9,85,0.07023083133653103,1
11,240,7,98,0.05516539104098454,1
12,260,13,182,0.04333168653696097,1
13,280,15,222,0.03403646784163056,1
14,300,8,124,0.026735196243658603,1
15,320,18,257,0.021000143772635805,1
16,340,12,149,0.016495335753369603,1
17,360,21,299,0.012956868513012178,1
18,380,21,323,0.010177449199795302,1
19,400,11,134,0.01,1
20,420,17,232,0.01,1
21,440,9,162,0.01,1
22,460,9,211,0.01,1
23,480,17,231,0.01,1
24,500,13,232,0.01,1
25,520,14,207,0.01,1
26,540,3,80,0.01,1
27,560,0,602,0.01,0
28,580,7,152,0.01,1
29,600,21,427,0.01,1
30,620,5,178,0.01,1
31,640,11,209,0.01,1
32,660,15,271,0.01,1
33,680,15,229,0.01,1
34,700,15,333,0.01,1
35,720,18,491,0.01,1
36,740,12,395,0.01,1
37,760,13,178,0.01,1
38,780,17,352,0.01,1
39,800,27,447,0.01,1
40,820,11,188,0.01,1
41,840,38,649,0.01,1
42,860,32,603,0.01,1
43,880,34,696,0.01,1
44,900,20,379,0.01,1
45,920,12,238,0.01,1
46,940,18,379,0.01,1
47,960,27,532,0.01,1
48,980,23,466,0.01,1
49,1000,31,692,0.01,1
50,1020,18,322,0.01,1
51,1040,21,377,0.01,1
52,1060,5,342,0.01,1
53,1080,24,445,0.01,1
54,1100,6,151,0.01,1
55,1120,27,608,0.01,1
56,1140,4,80,0.01,1
57,1160,21,536,0.01,1
58,1180,23,391,0.01,1
59,1200,5,83,0.01,1
60,1220,16,361,0.01,1
61,1240,12,260,0.01,1
62,1260,21,464,0.01,1
63,1280,36,703,0.01,1
64,1300,15,281,0.01,1
65,1320,12,226,0.01,1
66,1340,25,638,0.01,1
67,1360,1,45,0.01,1
68,1380,10,162,0.01,1
69,1400,7,161,0.01,1
70,1420,32,571,0.01,1
71,1440,19,310,0.01,1
72,1460,21,432,0.01,1
73,1480,20,385,0.01,1
74,1500,10,164,0.01,1
75,1520,1,149,0.01,1
76,1540,20,613,0.01,1
77,1560,11,331,0.01,1
78,1580,7,77,0.01,1
79,1600,27,512,0.01,1
80,1620,6,189,0.01,1
81,1640,27,541,0.01,1
82,1660,2,86,0.01,1
83,1680,9,129,0.01,1
84,1700,6,137,0.01,1
85,1720,31,555,0.01,1
86,1740,11,298,0.01,1
87,1760,24,385,0.01,1
88,1780,10,244,0.01,1
89,1800,22,586,0.01,1
90,1820,18,369,0.01,1
91,1840,21,577,0.01,1
92,1860,12,308,0.01,1
93,1880,5,123,0.01,1
94,1900,19,372,0.01,1
95,1920,32,875,0.01,1
96,1940,10,203,0.01,1
97,1960,17,492,0.01,1
98,1980,11,319,0.01,1
99,2000,25,515,0.01,1
