,episode,scores,steps,epsilons,win_rate
0,20,0,44,0.8179069375972307,0
1,40,1,49,0.6689717585696803,1
2,60,1,34,0.5471566423907612,1
3,80,1,45,0.44752321376381066,1
4,100,4,89,0.36603234127322926,1
5,120,3,134,0.29938039131233124,1
6,140,6,111,0.24486529903492946,1
7,160,1,56,0.20027702685748935,1
8,180,7,164,0.16380796970808745,1
9,200,10,177,0.13397967485796175,1
10,220,5,80,0.10958290556334822,1
11,240,8,131,0.08962861870232469,1
12,260,3,51,0.07330786904388827,1
13,280,11,191,0.05995901467146548,1
14,300,14,197,0.04904089407128576,1
15,320,22,284,0.04011088748687551,1
16,340,6,91,0.03280697314869741,1
17,360,10,139,0.026833050939885677,1
18,380,9,108,0.02194693852063239,1
19,400,7,99,0.017950553275045134,1
20,420,13,139,0.014681882057368112,1
21,440,2,49,0.01200841319170568,1
22,460,10,152,0.01,1
23,480,12,140,0.01,1
24,500,13,142,0.01,1
25,520,13,182,0.01,1
26,540,16,245,0.01,1
27,560,19,286,0.01,1
28,580,14,178,0.01,1
29,600,7,79,0.01,1
30,620,9,95,0.01,1
31,640,32,469,0.01,1
32,660,12,137,0.01,1
33,680,22,315,0.01,1
34,700,1,16,0.01,1
35,720,5,77,0.01,1
36,740,16,237,0.01,1
37,760,21,331,0.01,1
38,780,9,104,0.01,1
39,800,18,263,0.01,1
40,820,22,354,0.01,1
41,840,27,443,0.01,1
42,860,9,136,0.01,1
43,880,22,310,0.01,1
44,900,9,127,0.01,1
45,920,32,504,0.01,1
46,940,10,156,0.01,1
47,960,8,118,0.01,1
48,980,16,197,0.01,1
49,1000,20,293,0.01,1
50,1020,30,521,0.01,1
51,1040,11,114,0.01,1
52,1060,4,91,0.01,1
53,1080,13,170,0.01,1
54,1100,20,258,0.01,1
55,1120,21,248,0.01,1
56,1140,15,213,0.01,1
57,1160,18,223,0.01,1
58,1180,17,272,0.01,1
59,1200,19,422,0.01,1
60,1220,3,32,0.01,1
61,1240,15,288,0.01,1
62,1260,5,485,0.01,1
63,1280,13,192,0.01,1
64,1300,32,632,0.01,1
65,1320,25,497,0.01,1
66,1340,13,211,0.01,1
67,1360,9,125,0.01,1
68,1380,11,202,0.01,1
69,1400,23,340,0.01,1
70,1420,16,208,0.01,1
71,1440,22,296,0.01,1
72,1460,22,282,0.01,1
73,1480,13,133,0.01,1
74,1500,26,423,0.01,1
75,1520,28,463,0.01,1
76,1540,12,258,0.01,1
77,1560,23,449,0.01,1
78,1580,19,238,0.01,1
79,1600,21,265,0.01,1
80,1620,27,403,0.01,1
81,1640,1,16,0.01,1
82,1660,15,210,0.01,1
83,1680,21,264,0.01,1
84,1700,13,159,0.01,1
85,1720,11,153,0.01,1
86,1740,34,566,0.01,1
87,1760,19,316,0.01,1
88,1780,13,164,0.01,1
89,1800,15,199,0.01,1
90,1820,28,406,0.01,1
91,1840,9,97,0.01,1
92,1860,24,462,0.01,1
93,1880,17,246,0.01,1
94,1900,39,751,0.01,1
95,1920,15,214,0.01,1
96,1940,7,97,0.01,1
97,1960,9,86,0.01,1
98,1980,18,373,0.01,1
99,2000,34,933,0.01,1
