,episode,scores,steps,epsilons,win_rate
0,20,0,39,0.8515956670851491,0
1,40,1,66,0.7252151801981999,1
2,60,0,32,0.6175901051611625,0
3,80,1,60,0.5259370575899076,1
4,100,1,37,0.447885719403078,1
5,120,3,14,0.3814175379929761,1
6,140,6,112,0.3248135227051037,1
7,160,1,16,0.27660978854633006,1
8,180,3,53,0.23555969739939403,1
9,200,6,71,0.2006016176452128,1
10,220,4,67,0.17083146839693503,1
11,240,5,124,0.14547933828862347,1
12,260,7,123,0.12388957413700638,1
13,280,8,98,0.10550382453209899,1
14,300,1,21,0.08984659983244736,1
15,320,12,241,0.07651297511964544,1
16,340,9,162,0.06515811808768388,1
17,360,23,342,0.05548837103889405,1
18,380,18,316,0.04725365635033525,1
19,400,15,239,0.04024100900187613,1
20,420,18,225,0.0342690689051322,1
21,440,11,156,0.02918339059465299,1
22,460,14,218,0.02485244898125998,1
23,480,11,115,0.021164237868895736,1
24,500,6,91,0.02,1
25,520,20,231,0.02,1
26,540,22,338,0.02,1
27,560,14,201,0.02,1
28,580,16,245,0.02,1
29,600,13,215,0.02,1
30,620,19,328,0.02,1
31,640,20,288,0.02,1
32,660,6,73,0.02,1
33,680,19,225,0.02,1
34,700,18,321,0.02,1
35,720,17,273,0.02,1
36,740,12,134,0.02,1
37,760,18,286,0.02,1
38,780,5,80,0.02,1
39,800,5,48,0.02,1
40,820,18,220,0.02,1
41,840,9,151,0.02,1
42,860,9,132,0.02,1
43,880,11,154,0.02,1
44,900,22,353,0.02,1
45,920,9,109,0.02,1
46,940,23,290,0.02,1
47,960,32,404,0.02,1
48,980,20,251,0.02,1
49,1000,23,410,0.02,1
50,1020,3,41,0.02,1
51,1040,26,405,0.02,1
52,1060,25,332,0.02,1
53,1080,18,283,0.02,1
54,1100,42,817,0.02,1
55,1120,14,194,0.02,1
56,1140,5,48,0.02,1
57,1160,2,39,0.02,1
58,1180,23,309,0.02,1
59,1200,11,112,0.02,1
60,1220,13,156,0.02,1
61,1240,27,340,0.02,1
62,1260,25,310,0.02,1
63,1280,16,274,0.02,1
64,1300,32,461,0.02,1
65,1320,16,222,0.02,1
66,1340,21,275,0.02,1
67,1360,16,200,0.02,1
68,1380,24,359,0.02,1
69,1400,11,145,0.02,1
70,1420,29,466,0.02,1
71,1440,15,184,0.02,1
72,1460,13,177,0.02,1
73,1480,13,148,0.02,1
74,1500,9,117,0.02,1
75,1520,20,249,0.02,1
76,1540,22,315,0.02,1
77,1560,25,445,0.02,1
78,1580,13,164,0.02,1
79,1600,26,281,0.02,1
80,1620,19,263,0.02,1
81,1640,10,129,0.02,1
82,1660,13,184,0.02,1
83,1680,10,121,0.02,1
84,1700,12,178,0.02,1
85,1720,18,259,0.02,1
86,1740,12,177,0.02,1
87,1760,15,223,0.02,1
88,1780,14,227,0.02,1
89,1800,14,169,0.02,1
90,1820,16,188,0.02,1
91,1840,33,557,0.02,1
92,1860,15,186,0.02,1
93,1880,9,98,0.02,1
94,1900,21,344,0.02,1
95,1920,24,362,0.02,1
96,1940,22,350,0.02,1
97,1960,34,491,0.02,1
98,1980,28,400,0.02,1
99,2000,13,204,0.02,1
