,episode,scores,steps,epsilons,win_rate
0,20,0,24,0.9607509570263429,0
1,40,0,28,0.9230424014270336,0
2,60,0,37,0.8868138705469162,0
3,80,0,27,0.8520072748321851,0
4,100,1,48,0.818566804688428,1
5,120,0,37,0.7864388409944025,0
6,140,1,25,0.7555718691280602,1
7,160,1,10,0.7259163963669665,1
8,180,1,45,0.697424872530677,1
9,200,3,119,0.670051613737823,1
10,220,1,94,0.6437527291556586,1
11,240,1,49,0.6184860506246193,1
12,260,0,24,0.5942110650450458,0
13,280,1,47,0.5708888494176704,1
14,300,1,54,0.5484820084336942,1
15,320,2,110,0.5269546145144024,1
16,340,0,33,0.5062721502041595,0
17,360,1,22,0.48640145282443054,1
18,380,2,31,0.46731066130007526,1
19,400,3,55,0.4489691650726603,1
20,420,1,48,0.4313475550188765,1
21,440,2,83,0.41441757629535864,1
22,460,3,112,0.3981520830343033,1
23,480,5,205,0.38252499481723873,1
24,500,5,116,0.36751125485715885,1
25,520,2,60,0.35308678982196745,1
26,540,4,102,0.3392284712348143,1
27,560,2,45,0.32591407838943093,1
28,580,1,12,0.31312226272100424,1
29,600,2,73,0.3008325135754587,1
30,620,2,83,0.2890251253222622,1
31,640,7,218,0.27768116575802215,1
32,660,5,101,0.2667824457502102,1
33,680,1,13,0.2563114900723428,1
34,700,2,71,0.24625150938385126,1
35,720,5,200,0.23658637330971655,1
36,740,5,42,0.22730058457670177,1
37,760,10,156,0.21837925416471335,1
38,780,4,62,0.2098080774334473,1
39,800,7,138,0.20157331118604155,1
40,820,4,46,0.1936617516329582,1
41,840,9,165,0.1860607132207625,1
42,860,1,23,0.17875800829185146,1
43,880,6,112,0.17174192754251918,1
44,900,4,42,0.1650012212480241,1
45,920,8,154,0.15852508122455447,1
46,940,13,256,0.15230312349916944,1
47,960,7,155,0.14632537165992823,1
48,980,4,88,0.14058224085951135,1
49,1000,9,157,0.13506452244668335,1
50,1020,3,65,0.12976336920095705,1
51,1040,8,113,0.12467028114678214,1
52,1060,7,126,0.11977709192451416,1
53,1080,9,131,0.11507595569630924,1
54,1100,15,244,0.11055933456595012,1
55,1120,7,116,0.10621998649243217,1
56,1140,5,59,0.10205095367792938,1
57,1160,13,124,0.09804555141152164,1
58,1180,6,65,0.0941973573507949,1
59,1200,9,136,0.09050020122412858,1
60,1220,15,209,0.08694815493715811,1
61,1240,5,60,0.08353552306754937,1
62,1260,9,161,0.08025683373284419,1
63,1280,11,157,0.07710682981673408,1
64,1300,7,97,0.07408046053969458,1
65,1320,16,267,0.07117287336046382,1
66,1340,10,176,0.06837940619538035,1
67,1360,5,98,0.06569557994310468,1
68,1380,7,161,0.06311709130273843,1
69,1400,18,279,0.06063980587382501,1
70,1420,9,145,0.05825975152716902,1
71,1440,15,204,0.055973112035844576,1
72,1460,18,248,0.053776220956180384,1
73,1480,8,122,0.05166555574891037,1
74,1500,8,116,0.05,1
75,1520,19,288,0.05,1
76,1540,18,302,0.05,1
77,1560,1,24,0.05,1
78,1580,9,183,0.05,1
79,1600,18,297,0.05,1
80,1620,11,92,0.05,1
81,1640,9,144,0.05,1
82,1660,7,137,0.05,1
83,1680,5,103,0.05,1
84,1700,11,185,0.05,1
85,1720,21,287,0.05,1
86,1740,9,67,0.05,1
87,1760,12,156,0.05,1
88,1780,16,292,0.05,1
89,1800,18,216,0.05,1
90,1820,3,39,0.05,1
91,1840,20,265,0.05,1
92,1860,29,560,0.05,1
93,1880,8,133,0.05,1
94,1900,27,401,0.05,1
95,1920,17,436,0.05,1
96,1940,6,120,0.05,1
97,1960,16,200,0.05,1
98,1980,8,134,0.05,1
99,2000,7,82,0.05,1
